mark,model,generation_name,year,mileage,vol_engine,fuel,city,province,price
seat,leon,gen-i-1999-2005-leon,1999,169000,1600,Gasoline,Gubin,Lubuskie,3999
volvo,xc-60,gen-ii-2017,2019,65942,1969,Diesel,Warszawa,Mazowieckie,169999
mazda,cx-3,,2019,76000,1998,Gasoline,Zielona Góra,Lubuskie,95900
citroen,xsara-picasso,,2007,179000,1587,Gasoline,Rybnik,Śląskie,8450
honda,accord,gen-vii-2002-2008,2008,265000,2204,Diesel,Łódź,Łódzkie,16800
honda,jazz,gen-ii-2002-2008-jazz,2006,207500,1339,Gasoline,Włocławek,Kujawsko-pomorskie,11900
opel,zafira,gen-c-2011,2017,179345,1956,Diesel,Orneta,Warmińsko-mazurskie,54700
mercedes-benz,c-klasa,gen-w204-2007-2014,2008,295000,1796,LPG,Świebodzin,Lubuskie,24900
ford,mondeo,gen-mk4-2007-2014,2008,208000,1997,Diesel,Nowy Sącz,Małopolskie,18900
renault,grand-scenic,gen-iv-2013-grand-scenic,2017,203956,1598,Diesel,Katowice,Śląskie,55000
skoda,octavia,gen-iii-2013,2018,195376,1968,Diesel,Nowy Targ,Małopolskie,75000
opel,antara,,2009,282000,1991,Diesel,Stargard Szczeciński,Zachodniopomorskie,19999
opel,antara,,2008,236000,1991,Diesel,Dzierżoniów,Dolnośląskie,22900
skoda,kodiaq,,2018,171476,1968,Diesel,Gdynia,Pomorskie,119900
volvo,xc-60,gen-ii-2017,2018,29000,1969,Gasoline,Częstochowa,Śląskie,205900
peugeot,207,,2008,163236,1397,Gasoline,Częstochowa,Śląskie,11900
audi,a6,gen-c5-1997-2004,1998,300200,2771,Gasoline,Pionki,Mazowieckie,6900
bmw,3gt,,2019,24130,1998,Gasoline,Gorzów Wielkopolski,Lubuskie,129900
mazda,cx-5,,2018,132100,1998,Gasoline,Długołęka,Dolnośląskie,105600
opel,astra,gen-j-2009-2015,2013,112172,1598,Gasoline,Zagórze,Małopolskie,38900
renault,twingo,gen-ii-2007-2014-twingo,2008,196000,1149,Gasoline,Opole,Opolskie,8900
mitsubishi,outlander,gen-ii-2006-2013,2010,272500,1968,Diesel,Krasnosielc,Mazowieckie,38900
mercedes-benz,e-klasa,gen-w212-2009,2010,347356,2987,Diesel,Częstochowa,Śląskie,39900
mercedes-benz,s-klasa,gen-w220-1998-2005,2003,401000,4966,LPG,Warszawa,Mazowieckie,39900
kia,stonic,,2021,1,998,Gasoline,Bydgoszcz,Kujawsko-pomorskie,74108
opel,astra,gen-h-2004-2013,2005,299000,1910,Diesel,Września,Wielkopolskie,10700
peugeot,5008,gen-i-2009-2017,2010,175678,1598,Gasoline,Kraków,Małopolskie,22990
audi,a5,gen-8t-2007-2016,2009,208048,1984,Gasoline,Tarnowskie Góry,Śląskie,38500
honda,cr-v,gen-iii-2006-2012,2008,158722,1997,Gasoline,Nysa,Opolskie,42500
opel,astra,gen-h-2004-2013,2009,187000,1796,Gasoline,Paczkowo,Wielkopolskie,14900
audi,a5,gen-8t-2007-2016,2011,120000,1798,Gasoline,Pleszew,Wielkopolskie,48800
ford,kuga,gen-ii-2012-kuga,2018,60074,1498,Gasoline,Warszawa,Mazowieckie,85900
opel,astra,gen-k-2015,2018,142000,1598,Diesel,Sokołów,Mazowieckie,40900
hyundai,i40,,2012,180000,1685,Diesel,Dłutów,Łódzkie,37900
opel,meriva,gen-ii-2010,2013,64021,1398,Gasoline,Katowice,Śląskie,31500
skoda,kamiq,,2021,7,999,Gasoline,Gdynia,Pomorskie,90700
bmw,seria-5,gen-e60-2003-2010,2007,285000,1995,Diesel,Budzyń,Wielkopolskie,26900
renault,megane,gen-iv-2016,2018,99000,1598,Gasoline,Tarczyn,Mazowieckie,50999
fiat,punto,gen-ii-fl-2003,2017,132000,1242,Gasoline,Opole,Opolskie,29900
peugeot,508,,2011,233500,1560,Diesel,Lębork,Pomorskie,32900
renault,scenic,gen-ii-2003-2009-scenic,2007,326128,1870,Diesel,Junoszyno,Pomorskie,7500
opel,mokka,,2013,159035,1686,Diesel,Dębno,Małopolskie,51999
opel,meriva,gen-ii-2010,2014,199383,1364,LPG,Zabrze,Śląskie,30000
opel,vectra,gen-c-2002-2008,2007,330254,1910,Diesel,Gdańsk,Pomorskie,6500
skoda,fabia,gen-iii-2014,2017,148220,1197,Gasoline,Warszawa,Mazowieckie,39799
fiat,tipo,gen-ii-2016,2017,70500,1368,Gasoline,Toruń,Kujawsko-pomorskie,42000
kia,sportage,gen-iv-2016-sportage,2018,39497,1591,Gasoline,Wrocław,Dolnośląskie,83600
citroen,c3-picasso,,2011,154000,1397,Gasoline,Dzierżążno,Pomorskie,19997
ford,fiesta,gen-mk6-2002-2008,2008,81620,1299,Gasoline,Częstochowa,Śląskie,9200
honda,cr-v,gen-v-2018,2021,10,1993,Hybrid,Warszawa,Mazowieckie,153200
kia,sportage,gen-iii-2010-2015,2012,165000,1685,Diesel,Jarosław,Podkarpackie,48900
bmw,seria-3,gen-f30-2012,2018,55500,1998,Gasoline,Warszawa,Mazowieckie,100000
ford,mondeo,gen-mk5-2014,2016,149000,1997,Diesel,Warszawa,Mazowieckie,54000
kia,venga,,2010,175705,1591,LPG,Bielany Wrocławskie,Dolnośląskie,25000
opel,astra,gen-j-2009-2015,2013,67819,1364,Gasoline,Inowrocław,Kujawsko-pomorskie,39900
volvo,xc-70,,2012,210000,1984,Diesel,Siedlce,Mazowieckie,50000
skoda,citigo,,2014,73800,999,Gasoline,Suchy Las,Wielkopolskie,26900
renault,grand-scenic,gen-iv-2013-grand-scenic,2014,200000,1461,Diesel,Kutno,Łódzkie,28990
opel,zafira,gen-a-1999-2005,2002,107000,1796,Gasoline,Pionki,Mazowieckie,9900
mazda,6,gen-iii-2012-6,2015,147000,2488,Gasoline,Wasilków,Podlaskie,46990
volkswagen,golf,gen-iv-1997-2006,2008,271400,1896,Diesel,Grudziądz,Kujawsko-pomorskie,15900
skoda,kodiaq,,2021,8,1984,Gasoline,Nowy Sącz,Małopolskie,210500
volkswagen,passat,gen-b8-2014,2017,104093,2000,Diesel,Kowale,Pomorskie,119899
opel,grandland-x,,2018,50400,1199,Gasoline,Grudziądz,Kujawsko-pomorskie,79900
audi,a4,gen-b6-2000-2004,2003,330000,2976,LPG,Starogard Gdański,Pomorskie,21500
seat,ibiza,gen-iii-2002-2008,2006,208748,1390,Gasoline,Kowalin,Lubelskie,8900
toyota,corolla,gen-seria-e16-2012,2015,51000,1598,Gasoline,Rabka-Zdrój,Małopolskie,52000
volkswagen,jetta,gen-a5-2005-2010,2007,227000,1896,Diesel,Warszawa,Mazowieckie,15900
opel,vectra,gen-c-2002-2008,2002,173000,2198,Gasoline,Łask,Łódzkie,10900
kia,xceed,,2022,5,1580,Hybrid,Włocławek,Kujawsko-pomorskie,141610
volvo,s60,gen-ii-2010-s60,2018,62380,1969,Gasoline,Kielce,Świętokrzyskie,126900
opel,insignia,gen-a-2008-2017,2013,221000,1956,Diesel,Bolesławiec,Dolnośląskie,35600
volvo,v60,gen-i-2011-2018,2011,250500,1560,Diesel,Radom,Mazowieckie,26100
audi,a6,gen-c8-2018,2020,15194,1968,Hybrid,Szczecin,Zachodniopomorskie,259900
volkswagen,passat,gen-b8-2014,2016,217000,1968,Diesel,Chełm,Lubelskie,48500
mercedes-benz,vito,gen-w447-2014,2018,117990,2143,Diesel,Puławy,Lubelskie,135900
opel,astra,gen-j-2009-2015,2016,70555,1364,Gasoline,Wrocław,Dolnośląskie,51990
seat,altea,,2013,205369,1968,Diesel,Płock,Mazowieckie,35800
hyundai,kona,,2019,54000,998,Gasoline,Czchów,Małopolskie,69900
bmw,x6,gen-g06-2019,2021,4000,2993,Diesel,Częstochowa,Śląskie,433100
alfa-romeo,mito,,2015,6100,1368,Gasoline,Gorzów Wielkopolski,Lubuskie,39999
ford,fiesta,gen-mk7-2008,2013,198000,1560,Diesel,Drezdenko,Lubuskie,24999
audi,a4,gen-b8-2007-2015,2008,209000,1968,Diesel,Szamotuły,Wielkopolskie,32800
bmw,seria-5,gen-g30-2017,2018,145707,1995,Diesel,Rybnik,Śląskie,159900
skoda,octavia,gen-iii-2013,2017,93932,1395,Gasoline,Warszawa,Mazowieckie,74900
mercedes-benz,c-klasa,gen-w206-2021,2021,0,0,Diesel,Leszno,Wielkopolskie,237877
volkswagen,passat,gen-b8-2014,2017,118088,1968,Diesel,Katowice,Śląskie,75900
opel,astra,gen-h-2004-2013,2005,171974,1910,Diesel,Deszczno,Lubuskie,13500
citroen,ds4,,2012,149000,1997,Diesel,Góra Kalwaria,Mazowieckie,39999
kia,sportage,gen-iii-2010-2015,2012,110571,1591,Gasoline,Łódź,Łódzkie,51000
audi,80,gen-b4-1991-1995,1992,114000,1984,Gasoline,Tuchola,Kujawsko-pomorskie,9900
bmw,seria-3,gen-g20-2019,2020,19700,1995,Diesel,Kielce,Świętokrzyskie,170000
skoda,fabia,gen-ii-2007,2013,127999,1598,Diesel,Piaseczno,Mazowieckie,20000
volkswagen,golf-plus,,2011,88000,1197,Gasoline,Rzeszów,Podkarpackie,24800
skoda,octavia,gen-iii-2013,2018,199000,1968,Diesel,Zbytków,Śląskie,79900
honda,civic,gen-ix-2011,2013,118000,1798,Gasoline,Legnica,Dolnośląskie,43999
renault,koleos,,2021,1701,1995,Diesel,Sękocin Nowy,Mazowieckie,190900
volkswagen,passat,gen-b8-2014,2016,128000,1968,Diesel,Brzeg,Opolskie,126000
bmw,seria-3,gen-e90-2005-2012,2008,224000,1995,Diesel,Sierosław,Łódzkie,31500
skoda,fabia,gen-iii-2014,2018,188368,999,Gasoline,Piła,Wielkopolskie,39900
mazda,cx-5,,2015,117218,2191,Diesel,Łódź,Łódzkie,76900
nissan,juke,gen-ii-2019,2021,7793,999,Gasoline,Rudawa,Małopolskie,84900
ford,fiesta,gen-mk6-2002-2008,2008,156200,1388,Gasoline,Haczów,Podkarpackie,8900
opel,astra,gen-h-2004-2013,2007,213268,1998,Gasoline,Gniezno,Wielkopolskie,17900
audi,a3,gen-8p-2003-2012,2006,258400,1598,Gasoline,Poznań,Wielkopolskie,17000
opel,zafira,gen-b-2005-2011,2007,226000,1796,Gasoline,Nowa Ruda,Dolnośląskie,16900
honda,civic,gen-viii-2006-2011,2008,186321,1339,Gasoline,Tarnowskie Góry,Śląskie,19900
audi,a6,gen-c7-2011,2012,303171,2967,Diesel,Witaszyce,Wielkopolskie,59800
mercedes-benz,cla-klasa,,2020,17200,1332,Gasoline,Straszyn,Pomorskie,169900
audi,q5,gen-8r-2008-2016,2015,119882,1984,Gasoline,Kraków,Małopolskie,149900
hyundai,kona,,2020,11081,998,Gasoline,Wejherowo,Pomorskie,79900
audi,a3,gen-8p-2003-2012,2003,291000,1968,Diesel,Szczecin,Zachodniopomorskie,7200
bmw,x3,gen-f25-2010,2012,170530,1995,Diesel,Gdańsk,Pomorskie,64900
fiat,tipo,gen-ii-2016,2021,5,999,Gasoline,Przeźmierowo,Wielkopolskie,82900
volvo,xc-90,gen-ii-2014-xc-90,2019,80000,1969,Diesel,Złotów,Wielkopolskie,204999
toyota,land-cruiser,gen-iv-2002-2009,2004,242154,2982,Diesel,Jasło,Podkarpackie,73800
bmw,seria-7,gen-f01-2008-2015,2009,39000,4395,Gasoline,Inowrocław,Kujawsko-pomorskie,114900
audi,a4,gen-b6-2000-2004,2003,191214,2496,Diesel,Przytoczno,Lubelskie,9500
audi,q5,gen-fy-2017,2018,88500,1968,Diesel,Katowice,Śląskie,167000
peugeot,407,,2005,189000,1997,Diesel,Toruń,Kujawsko-pomorskie,12999
opel,astra,gen-j-2009-2015,2013,149000,1956,Diesel,Dziemionna,Kujawsko-pomorskie,31999
audi,a4,gen-b8-2007-2015,2010,286035,1968,Diesel,Czchów,Małopolskie,32000
bmw,x4,gen-f26-2014%E2%80%932018,2021,6000,1998,Gasoline,Libertów,Małopolskie,262600
renault,clio,gen-v-2019,2022,1,999,Gasoline,Ciechanów,Mazowieckie,72900
peugeot,207,,2006,126812,1360,Gasoline,Żarowo,Zachodniopomorskie,8300
hyundai,ix35,,2012,193000,1998,Gasoline,Radom,Mazowieckie,45800
audi,a4,gen-b8-2007-2015,2011,223339,1968,Diesel,Ostrów Mazowiecka,Mazowieckie,36900
kia,ceed,gen-ii-2012-ceed,2012,105345,1591,Gasoline,Zgierz,Łódzkie,36900
audi,a6,gen-c5-1997-2004,2004,225000,2393,Gasoline,Strzelce,Wielkopolskie,12800
ford,focus,gen-mk2-2004-2011,2010,239000,1560,Diesel,Krośniewice,Łódzkie,18900
peugeot,3008,gen-ii-2016-3008,2019,19900,1199,Gasoline,Milicz,Dolnośląskie,98000
opel,corsa,gen-d-2006-2014,2010,175000,1398,Gasoline,Jastrzębie-Zdrój,Śląskie,14900
volkswagen,tiguan,gen-ii-2016-tiguan,2019,34500,1984,Gasoline,Warszawa,Mazowieckie,158000
opel,corsa,gen-d-2006-2014,2009,149717,1229,Gasoline,Piotrków Kujawski,Kujawsko-pomorskie,15700
volkswagen,sharan,gen-ii-2010-sharan,2014,96300,1968,Diesel,Poznań,Wielkopolskie,79799
peugeot,207,,2007,146256,1360,Gasoline,Wieluń,Łódzkie,11800
seat,leon,gen-ii-2005-2012,2009,162000,1595,Gasoline,Będzin,Śląskie,20900
kia,ceed,gen-ii-2012-ceed,2013,167447,1396,Diesel,Ostrołęka,Mazowieckie,28300
volkswagen,arteon,,2018,230500,1984,Gasoline,Gdańsk,Pomorskie,115000
volvo,xc-60,gen-ii-2017,2020,2650,1969,Diesel,Poznań,Wielkopolskie,189900
bmw,seria-3,gen-e90-2005-2012,2009,208120,1995,Gasoline,Kościerzyna,Pomorskie,24990
mercedes-benz,m-klasa,gen-w163-1998-2005,2003,154213,3724,LPG,Jeńki,Podlaskie,16000
volkswagen,passat,gen-b6-2005-2010,2010,293887,1798,Gasoline,Toruń,Kujawsko-pomorskie,22017
honda,civic,gen-viii-2006-2011,2006,200000,1798,Gasoline,Białystok,Podlaskie,17899
audi,a6,gen-c7-2011,2016,84000,2967,Diesel,Wrocław,Dolnośląskie,139000
volvo,v50,,2009,248000,1998,Diesel,Kwidzyn,Pomorskie,16600
volkswagen,passat,gen-b8-2014,2018,19800,1968,Diesel,Polkowice,Dolnośląskie,97900
opel,corsa,gen-e-2014,2018,184200,1248,Diesel,Przodkowo,Pomorskie,34900
renault,megane,gen-iii-2008-2016,2015,118000,1197,Gasoline,Liśnik Duży,Lubelskie,34900
audi,a6,gen-c5-1997-2004,2001,280000,2400,Gasoline,Lublin,Lubelskie,9900
opel,meriva,gen-ii-2010,2013,195432,1364,Gasoline,Sosnowiec,Śląskie,26000
renault,scenic,gen-iii-2009-2013,2013,74570,1461,Diesel,Turek,Wielkopolskie,27500
